group_id,annotator,edf,notes,updated_at
"27","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:40 GMT+0800 (Singapore Standard Time)"
"28","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:41 GMT+0800 (Singapore Standard Time)"
"29","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:42 GMT+0800 (Singapore Standard Time)"
"30","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:29:43 GMT+0800 (Singapore Standard Time)"
"31","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:29:44 GMT+0800 (Singapore Standard Time)"
"32","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:45 GMT+0800 (Singapore Standard Time)"
"33","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:29:46 GMT+0800 (Singapore Standard Time)"
"34","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:47 GMT+0800 (Singapore Standard Time)"
"35","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:29:48 GMT+0800 (Singapore Standard Time)"
"36","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:49 GMT+0800 (Singapore Standard Time)"
"37","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:29:50 GMT+0800 (Singapore Standard Time)"
"38","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:51 GMT+0800 (Singapore Standard Time)"
"39","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:29:52 GMT+0800 (Singapore Standard Time)"
"40","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:29:53 GMT+0800 (Singapore Standard Time)"
"41","annotator_A","nonedf","トリガがサーバー/ネットワーク/API失敗で、DOM操作では決定的に誘発できない。非EDF。","Mon Jul 13 2026 13:29:54 GMT+0800 (Singapore Standard Time)"
"42","annotator_A","nonedf","トリガがサーバー/ネットワーク/API失敗で、DOM操作では決定的に誘発できない。非EDF。","Mon Jul 13 2026 13:29:55 GMT+0800 (Singapore Standard Time)"
"43","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:29:56 GMT+0800 (Singapore Standard Time)"
"44","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:29:57 GMT+0800 (Singapore Standard Time)"
"45","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:29:58 GMT+0800 (Singapore Standard Time)"
"46","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:29:59 GMT+0800 (Singapore Standard Time)"
"47","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:30:00 GMT+0800 (Singapore Standard Time)"
"48","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:30:01 GMT+0800 (Singapore Standard Time)"
"49","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:30:02 GMT+0800 (Singapore Standard Time)"
"50","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:30:03 GMT+0800 (Singapore Standard Time)"
"51","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:30 GMT+0800 (Singapore Standard Time)"
"52","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"53","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"54","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"55","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"56","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"57","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"58","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"59","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"60","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"61","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"62","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"63","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"64","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"65","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"66","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"67","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"68","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"69","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"70","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"71","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"72","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"73","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"74","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"75","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:31:31 GMT+0800 (Singapore Standard Time)"
"76","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"77","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"78","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"79","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"80","annotator_A","nonedf","挙動の記述が「なし」。検証すべき効果が未指定でDOM判定不能。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"81","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"82","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"83","annotator_A","nonedf","挙動の記述が「なし」。検証すべき効果が未指定でDOM判定不能。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"84","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"85","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"86","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"87","annotator_A","nonedf","挙動の記述が「なし」。検証すべき効果が未指定でDOM判定不能。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"88","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"89","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"90","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"91","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"92","annotator_A","nonedf","トリガがサーバー/ネットワーク/API失敗で、DOM操作では決定的に誘発できない。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"93","annotator_A","nonedf","トリガがサーバー/ネットワーク/API失敗で、DOM操作では決定的に誘発できない。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"94","annotator_A","nonedf","トリガが実時刻依存（打刻可能時間外等）で、DOM操作では決定的に誘発不可。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"95","annotator_A","nonedf","トリガが実時刻依存（打刻可能時間外等）で、DOM操作では決定的に誘発不可。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"96","annotator_A","nonedf","トリガがサーバー/ネットワーク/API失敗で、DOM操作では決定的に誘発できない。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"97","annotator_A","nonedf","トリガがサーバー/ネットワーク/API失敗で、DOM操作では決定的に誘発できない。非EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"98","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"99","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"100","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:32 GMT+0800 (Singapore Standard Time)"
"101","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"102","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"103","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"104","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"105","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"106","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"107","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"108","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"109","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"110","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"111","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"112","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"113","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"114","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"115","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"116","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"117","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"118","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"119","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"120","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"121","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"122","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"123","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"124","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"125","annotator_A","edf","操作に観測可能な効果が明示（遷移/状態変更/表示/活性化/ソート等）。有限のDOM実行で真偽判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"126","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"127","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"128","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"129","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"130","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"131","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"132","annotator_A","edf","DOMで誘発可能な入力条件＋観測可能な結果（エラー表示/入力ブロック/確認ダイアログ）。有限操作で判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"133","annotator_A","nonedf","条件節のみで、検証すべき観測可能な効果が未指定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"134","annotator_A","nonedf","主張が断片的・不完全（全メール形式への正しさなら無限領域の全称）。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"135","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"136","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"137","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"138","annotator_A","edf","画面到達: 当該画面の表示有無をDOM述語で機械判定可能。EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"139","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"140","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"141","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
"142","annotator_A","nonedf","操作（クリック/選択/入力等）のみで結果効果が未指定。DOMに何が現れるべきか不定。非EDF。","Mon Jul 13 2026 13:31:40 GMT+0800 (Singapore Standard Time)"
